Date,Timestamp_MS,Urban_LST_Observed_C,Urban_LST_Fitted_C,Rural_LST_Observed_C,Rural_LST_Fitted_C,UHI_Delta_C
2024-11-11,1731283200000,32.26,33.03,24.58,23.68,7.68
2024-11-27,1732665600000,33.01,33.59,25.05,24.15,7.96
2024-12-13,1734048000000,34.01,34.17,24.49,24.64,9.52
2024-12-29,1735430400000,34.6,34.72,24.66,25.12,9.94
2025-01-14,1736812800000,33.36,35.2,26.37,25.56,6.99
2025-01-30,1738195200000,36.12,35.57,25.99,25.91,10.13
2025-02-15,1739577600000,35.9,35.81,25.39,26.16,10.51
2025-03-03,1740960000000,35.14,35.9,26.55,26.29,8.59
2025-03-19,1742342400000,36.33,35.83,25.13,26.28,11.2
2025-04-04,1743724800000,35.84,35.61,25.47,26.13,10.37
2025-04-20,1745107200000,34.96,35.25,26.21,25.87,8.75
2025-05-06,1746489600000,34.96,34.78,24.69,25.5,10.27
2025-05-22,1747872000000,33.16,34.24,25.37,25.05,7.79
2025-06-07,1749254400000,33.71,33.67,25.88,24.57,7.83
2025-06-23,1750636800000,34.72,33.1,25.12,24.07,9.6
2025-07-09,1752019200000,31.62,32.59,24.4,23.62,7.22
2025-07-25,1753401600000,32.53,32.17,23.48,23.22,9.05
2025-08-10,1754784000000,31.4,31.87,22.37,22.93,9.03
2025-08-26,1756166400000,32.07,31.72,22.7,22.75,9.37
2025-09-11,1757548800000,31.39,31.72,22.39,22.7,9.0
2025-09-27,1758931200000,31.81,31.88,23.51,22.79,8.3
2025-10-13,1760313600000,32.66,32.19,24.97,23.01,7.69
2025-10-29,1761696000000,31.75,32.61,23.69,23.34,8.06
2025-11-14,1763078400000,32.92,33.13,23.35,23.76,9.57
2025-11-30,1764460800000,32.0,33.69,22.88,24.23,9.12
2025-12-16,1765843200000,35.84,34.27,24.75,24.72,11.09
2026-01-01,1767225600000,34.05,34.81,26.01,25.2,8.04
2026-01-17,1768608000000,34.67,35.27,25.23,25.63,9.44
2026-02-02,1769990400000,34.78,35.62,27.38,25.96,7.4
2026-02-18,1771372800000,35.1,35.84,26.2,26.19,8.9
2026-03-06,1772755200000,35.29,35.9,26.13,26.3,9.16
2026-03-22,1774137600000,37.08,35.8,26.54,26.26,10.54
2026-04-07,1775520000000,35.2,35.56,26.67,26.1,8.53
2026-04-23,1776902400000,36.81,35.18,25.69,25.81,11.12
